,PERSON_ID,PLAYER_NAME,TEAM_NAME
10,1630173,"Achiuwa, Precious",Raptors
22,203500,"Adams, Steven",Grizzlies
24,1628389,"Adebayo, Bam",Heat
40,1630583,"Aldama, Santi",Grizzlies
43,200746,"Aldridge, LaMarcus",Nets
53,1629638,"Alexander-Walker, Nickeil",Jazz
57,1628960,"Allen, Grayson",Bucks
58,1628386,"Allen, Jarrett",Cavaliers
74,1630631,"Alvarado, Jose",Pelicans
95,203937,"Anderson, Kyle",Grizzlies
110,203507,"Antetokounmpo, Giannis",Bucks
112,203648,"Antetokounmpo, Thanasis",Bucks
113,2546,"Anthony, Carmelo",Lakers
114,1630175,"Anthony, Cole",Magic
118,1628384,"Anunoby, OG",Raptors
124,1627853,"Arcidiacono, Ryan",Knicks
153,201571,"Augustin, D.J.",Lakers
158,1630166,"Avdija, Deni",Wizards
166,1629028,"Ayton, Deandre",Suns
168,1628962,"Azubuike, Udoka",Jazz
177,1628963,"Bagley III, Marvin",Pistons
192,1630163,"Ball, LaMelo",Hornets
193,1628366,"Ball, Lonzo",Bulls
196,1628964,"Bamba, Mo",Magic
197,1630217,"Bane, Desmond",Grizzlies
202,1630625,"Banton, Dalano",Raptors
214,203084,"Barnes, Harrison",Kings
219,1630567,"Barnes, Scottie",Raptors
230,1629628,"Barrett, RJ",Knicks
239,203115,"Barton, Will",Nuggets
245,1629646,"Bassey, Charles",76ers
249,1628966,"Bates-Diop, Keita",Spurs
257,201587,"Batum, Nicolas",Clippers
265,203145,"Bazemore, Kent",Lakers
266,1629647,"Bazley, Darius",Thunder
268,203078,"Beal, Bradley",Wizards
272,1627736,"Beasley, Malik",Timberwolves
315,202722,"Bertans, Davis",Mavericks
318,201976,"Beverley, Patrick",Timberwolves
319,1630180,"Bey, Saddiq",Pistons
333,203920,"Birch, Khem",Raptors
339,1629048,"Bitadze, Goga",Pacers
340,202687,"Biyombo, Bismack",Suns
341,202357,"Bjelica, Nemanja",Warriors
362,202339,"Bledsoe, Eric",Trail Blazers
363,1629833,"Blevins, Keljin",Trail Blazers
378,203992,"Bogdanovic, Bogdan",Hawks
379,202711,"Bogdanovic, Bojan",Jazz
383,1629626,"Bol, Bol",Magic
388,1630195,"Bolmaro, Leandro",Timberwolves
396,1629067,"Bonga, Isaac",Raptors
400,1626164,"Booker, Devin",Suns
417,1630527,"Boston Jr., Brandon",Clippers
419,1628449,"Boucher, Chris",Raptors
420,1630547,"Bouknight, James",Hornets
445,202340,"Bradley, Avery",Lakers
452,1628396,"Bradley, Tony",Bulls
467,1629649,"Brazdeikis, Ignas",Magic
483,1628969,"Bridges, Mikal",Suns
484,1628970,"Bridges, Miles",Hornets
490,1629052,"Brissett, Oshae",Pacers
499,1627763,"Brogdon, Malcolm",Pacers
503,1629717,"Brooks, Armoni",Raptors
504,1628415,"Brooks, Dillon",Grizzlies
513,1628971,"Brown, Bruce",Nets
527,1627759,"Brown, Jaylen",Celtics
537,1629650,"Brown, Moses",Cavaliers
546,1628425,"Brown, Sterling",Mavericks
549,1630535,"Brown III, Greg",Trail Blazers
550,1629718,"Brown Jr., Charlie",76ers
551,1630602,"Brown Jr., Chaundee",Hawks
552,1628972,"Brown Jr., Troy",Bulls
555,1628973,"Brunson, Jalen",Mavericks
563,1628418,"Bryant, Thomas",Wizards
578,203493,"Bullock, Reggie",Mavericks
584,203504,"Burke, Trey",Mavericks
586,202692,"Burks, Alec",Knicks
610,1630215,"Butler, Jared",Jazz
611,202710,"Butler, Jimmy",Heat
624,1629719,"Cacok, Devontae",Spurs
633,203484,"Caldwell-Pope, Kentavious",Wizards
643,1630267,"Campazzo, Facundo",Nuggets
647,1628427,"Cancar, Vlatko",Nuggets
648,1629962,"Cannady, Devin",Magic
650,203991,"Capela, Clint",Hawks
653,1630176,"Carey Jr., Vernon",Wizards
680,1628975,"Carter, Jevon",Bucks
685,1628976,"Carter Jr., Wendell",Magic
689,1627936,"Caruso, Alex",Bulls
713,1630551,"Champagnie, Justin",Raptors
734,1629185,"Chiozza, Chris",Warriors
737,1627737,"Chriss, Marquese",Mavericks
745,1630528,"Christopher, Josh",Rockets
751,1629109,"Clark, Gary",Pelicans
754,1629634,"Clarke, Brandon",Grizzlies
756,203903,"Clarkson, Jordan",Jazz
760,1629651,"Claxton, Nic",Nets
773,1629599,"Coffey, Amir",Clippers
792,1628381,"Collins, John",Hawks
795,1628380,"Collins, Zach",Spurs
807,201144,"Conley, Mike",Jazz
810,1626192,"Connaughton, Pat",Bucks
824,1629076,"Cook, Tyler",Bulls
833,1630536,"Cooper, Sharife",Hawks
855,202326,"Cousins, DeMarcus",Nuggets
857,203496,"Covington, Robert",Clippers
863,1628470,"Craig, Torrey",Suns
888,203109,"Crowder, Jae",Suns
889,1629633,"Culver, Jarrett",Grizzlies
895,1630595,"Cunningham, Cade",Pistons
909,203552,"Curry, Seth",Nets
910,201939,"Curry, Stephen",Warriors
940,203076,"Davis, Anthony",Lakers
954,202334,"Davis, Ed",Cavaliers
974,1629056,"Davis, Terence",Kings
994,201942,"DeRozan, DeMar",Bulls
998,203473,"Dedmon, Dewayne",Heat
1025,1628978,"DiVincenzo, Donte",Kings
1029,1628977,"Diallo, Hamidou",Pistons
1040,203476,"Dieng, Gorgui",Hawks
1049,203915,"Dinwiddie, Spencer",Mavericks
1062,1629029,"Doncic, Luka",Mavericks
1070,1629652,"Dort, Luguentz",Thunder
1071,1630245,"Dosunmu, Ayo",Bulls
1091,201609,"Dragic, Goran",Nets
1103,203083,"Drummond, Andre",Nets
1105,1630537,"Duarte, Chris",Pacers
1116,1630561,"Duke Jr., David",Nets
1129,201142,"Durant, Kevin",Nets
1157,1630162,"Edwards, Anthony",Timberwolves
1160,1629035,"Edwards, Carsen",Pistons
1167,1630556,"Edwards, Kessler",Nets
1182,1629604,"Elleby, CJ",Trail Blazers
1185,201961,"Ellington, Wayne",Lakers
1202,203954,"Embiid, Joel",76ers
1256,202324,"Favors, Derrick",Thunder
1276,1628981,"Fernando, Bruno",Rockets
1293,1627827,"Finney-Smith, Dorian",Mavericks
1297,1630238,"Fitts, Malik",Celtics
1309,1630201,"Flynn, Malachi",Raptors
1316,1627854,"Forbes, Bryn",Nuggets
1330,1630235,"Forrest, Trent",Jazz
1339,203095,"Fournier, Evan",Knicks
1343,1628368,"Fox, De'Aaron",Kings
1359,1628982,"Frazier Jr., Melvin",Thunder
1381,1628365,"Fultz, Markelle",Magic
1385,1629117,"Gabriel, Wenyen",Lakers
1388,1629655,"Gafford, Daniel",Wizards
1397,201568,"Gallinari, Danilo",Hawks
1411,1629636,"Garland, Darius",Cavaliers
