PERSON_ID,GP,MIN,PTS,REB,AST,STL,BLK
1630173,134,2462.0,968,681,111,57,69
203500,664,17811.0,6157,5303,982,588,629
1628389,343,9666.0,4617,2850,1189,340,309
1630583,32,360.0,132,87,21,6,10
200746,1076,36242.0,20558,8736,2076,758,1187
1629638,158,3064.0,1467,415,347,110,53
1628960,192,4199.0,1806,490,285,108,34
1628386,341,9062.0,3945,2964,467,187,465
1630631,54,834.0,330,100,152,71,7
203937,505,10584.0,3366,2220,1167,510,298
203507,656,21354.0,14321,6149,3020,764,856
203648,127,1159.0,398,250,83,45,24
2546,1260,43514.0,28289,7808,3422,1223,644
1630175,112,3332.0,1667,569,561,76,35
1628384,301,8061.0,3144,1246,429,331,138
1627853,217,3722.0,1005,429,460,115,7
201571,976,22852.0,9259,1805,3761,567,32
1630166,136,3241.0,1027,687,230,91,59
1629028,236,7246.0,3843,2485,380,168,246
1628962,32,252.0,96,84,0,2,15
1628963,166,4159.0,2256,1224,151,82,110
1630163,126,3891.0,2311,803,884,200,48
1628366,252,8187.0,2995,1447,1563,391,162
1628964,226,4193.0,1747,1372,201,88,326
1630217,144,3785.0,2009,544,326,133,45
1630625,64,696.0,205,124,99,28,10
203084,747,23763.0,10566,3817,1376,522,142
1630567,74,2617.0,1134,557,256,80,55
1629628,198,6633.0,3469,1101,568,151,53
203115,623,16123.0,7246,2655,1705,476,259
1629646,23,168.0,69,62,7,5,17
1628966,163,2449.0,853,490,100,75,57
201587,915,28029.0,10149,4707,3215,874,579
203145,657,13546.0,5414,2072,1154,658,309
1629647,185,4768.0,1841,1078,237,110,136
203078,645,22418.0,14231,2641,2701,727,251
1627736,336,7025.0,3488,825,418,190,44
202722,387,7379.0,3165,1045,392,168,147
201976,526,14410.0,4654,2243,1839,602,271
1630180,152,4613.0,2178,759,328,125,30
203920,262,4664.0,1359,1216,267,131,149
1629048,149,1762.0,752,433,115,40,139
202687,738,14720.0,3814,4482,442,188,952
202357,449,9172.0,3412,2051,825,288,184
202339,756,21020.0,10348,2937,3545,1028,344
1629833,48,424.0,107,55,23,15,1
203992,316,9042.0,4501,1083,1073,325,73
202711,603,17519.0,9043,2184,945,334,42
1629626,53,327.0,142,63,18,6,18
1630195,35,241.0,50,43,21,6,0
1629067,143,1870.0,439,320,118,73,37
1626164,477,16072.0,11217,1865,2228,398,128
1630527,51,760.0,343,111,51,26,13
1628449,231,4126.0,2076,1232,116,112,271
1630547,31,304.0,142,52,26,7,1
202340,660,18152.0,7279,1863,1105,655,128
1628396,167,1961.0,773,718,89,41,98
1629649,64,838.0,318,122,58,14,7
1628969,309,9661.0,3483,1212,639,403,183
1628970,291,8461.0,3893,1641,656,213,216
1629052,107,2218.0,879,499,97,67,50
1627763,333,10052.0,5159,1398,1596,285,77
1629717,74,1364.0,511,171,92,40,16
1628415,272,7674.0,3955,829,546,260,82
1628971,269,6309.0,2056,1153,573,238,145
1627759,403,11559.0,6644,1994,822,381,146
1629650,92,1297.0,552,532,12,39,64
1628425,264,4435.0,1431,883,266,137,47
1630535,48,640.0,225,135,35,26,24
1629718,41,370.0,90,53,17,16,8
1630602,5,104.0,31,16,4,2,0
1628972,221,4090.0,1408,836,353,152,23
1628973,277,6835.0,3286,843,1034,160,12
1628418,170,3425.0,1733,971,219,61,147
203493,434,9775.0,3382,1095,524,252,63
203504,498,10401.0,4792,878,1522,274,52
202692,625,14378.0,6649,2210,1264,438,132
1630215,42,360.0,161,45,63,17,8
202710,690,22863.0,12222,3658,2836,1127,323
1629719,36,228.0,91,79,8,13,11
203484,683,19972.0,7911,2148,1150,748,154
1630267,130,2609.0,728,251,452,142,37
1628427,70,503.0,164,91,34,14,6
1629962,13,219.0,84,11,11,10,4
203991,471,12614.0,5851,5023,465,328,713
1630176,26,159.0,66,39,2,3,6
1628975,223,3144.0,984,386,320,126,51
1628976,203,5593.0,2476,1803,404,130,179
1627936,225,4631.0,1386,573,601,252,67
1630551,36,281.0,81,72,11,8,4
1629185,91,1038.0,303,117,217,42,11
1627737,292,5338.0,2206,1366,298,187,227
1630528,74,1334.0,587,186,150,65,13
1629109,170,2239.0,524,431,84,52,62
1629634,181,3961.0,1976,1015,262,131,167
203903,600,16190.0,9216,1971,1526,515,88
1629651,94,1755.0,688,474,87,48,99
1629599,131,2121.0,817,257,160,53,17
1628381,293,8487.0,4837,2441,455,167,304
1628380,182,3193.0,1099,767,200,60,125
201144,958,30618.0,14221,2872,5407,1363,197
1626192,417,7717.0,2469,1392,521,197,118
1629076,65,691.0,246,162,21,15,6
1630536,13,39.0,7,5,5,0,0
202326,654,19509.0,12802,6664,1979,874,742
203496,537,16064.0,6222,3122,803,861,527
1628470,300,5603.0,1698,1086,284,146,160
203109,735,18561.0,7056,3141,1182,736,254
1629633,134,2343.0,890,364,167,94,52
1630595,64,2088.0,1114,354,356,78,43
203552,377,9489.0,4245,843,832,274,53
201939,826,28361.0,20064,3838,5388,1367,187
203076,604,20805.0,14390,6162,1414,824,1413
202334,722,13757.0,4291,4616,539,349,566
1629056,163,2820.0,1387,485,238,108,39
201942,957,32790.0,19869,4227,3729,935,280
203473,477,8471.0,3056,2836,332,249,390
1628978,201,4752.0,1809,933,506,218,49
1628977,207,3917.0,1748,813,227,170,60
203476,597,12269.0,4470,3427,784,464,535
203915,387,10207.0,5042,1167,1933,260,104
1629029,264,8928.0,6962,2256,2102,278,111
1629652,139,4029.0,1850,482,203,122,41
1630245,77,2110.0,679,214,256,60,29
201609,888,24733.0,12203,2735,4254,863,163
203083,718,21267.0,9938,9519,1003,976,1055
1630537,55,1541.0,720,226,114,56,10
1630561,22,341.0,104,67,17,14,7
201142,939,34508.0,25526,6646,4032,1021,1038
1630162,144,4780.0,2925,679,486,187,82
1629035,72,705.0,267,79,52,21,5
1630556,48,987.0,284,172,31,29,24
1629604,88,1367.0,407,259,97,41,22
201961,770,16101.0,6190,1643,852,412,66
203954,328,10240.0,8535,3732,1080,285,542
202324,790,19202.0,8354,5608,851,577,939
1628981,119,1091.0,379,331,66,23,31
1627827,394,10759.0,3229,1792,554,316,168
1630238,18,74.0,24,20,5,0,0
1630201,91,1465.0,542,179,207,58,11
1627854,406,8314.0,3687,703,506,156,12
1630235,90,1068.0,283,143,151,39,10
203095,645,18476.0,9222,1771,1676,570,98
1628368,322,10325.0,6148,1138,2005,432,142
1628982,32,290.0,87,28,5,11,2
1628365,131,3251.0,1423,425,623,147,27
1629117,77,835.0,276,203,33,25,26
1629655,169,2844.0,1277,744,118,69,230
201568,728,21779.0,11327,3510,1414,537,262
1629636,181,6044.0,3142,464,1141,197,17
1630586,24,239.0,48,83,17,10,11
1630568,32,389.0,186,100,20,9,6
200752,1064,33745.0,17349,6120,2223,1212,780
202331,737,24741.0,15029,4735,2641,1268,324
201959,896,21977.0,8088,5477,880,503,927
1630581,54,1700.0,674,421,345,51,20
