,PERSON_ID,POSITION,HEIGHT,WEIGHT,COUNTRY,BIRTHDATE,SEASON_EXP,DRAFT_NUMBER
0,1630173,Forward,6-8,225,Nigeria,1999-09-19T00:00:00,1,20
0,203500,Center,6-11,265,New Zealand,1993-07-20T00:00:00,8,12
0,1628389,Center-Forward,6-9,255,USA,1997-07-18T00:00:00,4,14
0,1630583,Forward-Center,6-11,215,Spain,2001-01-10T00:00:00,0,30
0,200746,Center-Forward,6-11,250,USA,1985-07-19T00:00:00,15,2
0,1629638,Guard,6-5,205,Canada,1998-09-02T00:00:00,2,17
0,1628960,Guard,6-4,198,USA,1995-10-08T00:00:00,3,21
0,1628386,Center,6-10,243,USA,1998-04-21T00:00:00,4,22
0,1630631,Guard,6-0,179,USA,1998-04-12T00:00:00,0,Undrafted
0,203937,Forward-Guard,6-9,230,USA,1993-09-20T00:00:00,7,30
0,203507,Forward,6-11,242,Greece,1994-12-06T00:00:00,8,15
0,203648,Forward,6-6,219,Greece,1992-07-18T00:00:00,3,51
0,2546,Forward,6-7,238,USA,1984-05-29T00:00:00,18,3
0,1630175,Guard,6-3,185,USA,2000-05-15T00:00:00,1,15
0,1628384,Forward,6-7,232,United Kingdom,1997-07-17T00:00:00,4,23
0,1627853,Guard,6-3,195,USA,1994-03-26T00:00:00,4,Undrafted
0,201571,Guard,5-11,183,USA,1987-11-10T00:00:00,13,9
0,1630166,Forward,6-9,210,Israel,2001-01-03T00:00:00,1,9
0,1629028,Center,6-11,250,Bahamas,1998-07-23T00:00:00,3,1
0,1628962,Center-Forward,7-0,270,Nigeria,1999-09-17T00:00:00,1,27
0,1628963,Forward,6-11,235,USA,1999-03-14T00:00:00,3,2
0,1630163,Guard,6-7,180,USA,2001-08-22T00:00:00,1,3
0,1628366,Guard,6-6,190,USA,1997-10-27T00:00:00,4,2
0,1628964,Center,7-0,231,USA,1998-05-12T00:00:00,3,6
0,1630217,Guard,6-5,215,USA,1998-06-25T00:00:00,1,30
0,1630625,Forward,6-7,204,Canada,1999-11-07T00:00:00,0,46
0,203084,Forward,6-8,225,USA,1992-05-30T00:00:00,9,7
0,1630567,Forward,6-7,225,USA,2001-08-01T00:00:00,0,4
0,1629628,Forward-Guard,6-6,214,Canada,2000-06-14T00:00:00,2,3
0,203115,Guard,6-5,181,USA,1991-01-06T00:00:00,9,40
0,1629646,Center-Forward,6-9,230,Nigeria,2000-10-28T00:00:00,0,53
0,1628966,Forward,6-8,229,USA,1996-01-23T00:00:00,3,48
0,201587,Guard-Forward,6-8,230,France,1988-12-14T00:00:00,13,25
0,203145,Guard-Forward,6-4,195,USA,1989-07-01T00:00:00,9,Undrafted
0,1629647,Forward,6-8,208,USA,2000-06-12T00:00:00,2,23
0,203078,Guard,6-4,207,USA,1993-06-28T00:00:00,9,3
0,1627736,Guard,6-4,187,USA,1996-11-26T00:00:00,5,19
0,202722,Forward,6-10,225,Latvia,1992-11-12T00:00:00,5,42
0,201976,Guard,6-1,180,USA,1988-07-12T00:00:00,9,42
0,1630180,Forward,6-7,215,USA,1999-04-09T00:00:00,1,19
0,203920,Center,6-9,233,Canada,1992-09-28T00:00:00,4,Undrafted
0,1629048,Center-Forward,7-0,250,Georgia,1999-07-20T00:00:00,2,18
0,202687,Center,6-8,255,DRC,1992-08-28T00:00:00,10,7
0,202357,Forward,6-9,234,Serbia,1988-05-09T00:00:00,6,35
0,202339,Guard,6-1,214,USA,1989-12-09T00:00:00,11,18
0,1629833,Guard,6-4,200,USA,1995-11-24T00:00:00,1,
0,203992,Guard,6-6,225,Serbia,1992-08-18T00:00:00,4,27
