PERSON_ID,SALARY
1630173,"$2,711,280"
203500,"$17,073,171"
1628389,"$28,103,550"
1630583,"$1,994,520"
200746,"$2,641,691"
1629638,"$3,261,480"
1628960,"$4,054,695"
1628386,"$20,000,000"
1630631,"$1,500,000"
203937,"$9,937,150"
203507,"$39,344,970"
203648,"$1,729,217"
2546,"$2,641,691"
1630175,"$3,449,400"
1628384,"$16,071,429"
1627853,"$586,136"
201571,"$7,622,467"
1630166,"$4,692,840"
1629028,"$12,632,950"
1628962,"$2,075,880"
1628963,"$11,312,114"
1630163,"$8,231,760"
1628366,"$18,604,651"
1628964,"$7,568,742"
1630217,"$2,033,160"
1630625,"$925,258"
203084,"$20,284,091"
1630567,"$7,280,520"
1629628,"$8,623,920"
203115,"$15,384,615"
1629646,"$925,258"
1628966,"$1,729,217"
201587,"$12,213,507"
203145,"$2,401,537"
1629647,"$2,513,040"
203078,"$34,502,130"
1627736,"$14,391,964"
202722,"$16,000,000"
201976,"$14,320,988"
1630180,"$2,824,320"
203920,"$6,350,000"
1629048,"$3,098,400"
202687,"$1,366,392"
202357,"$2,089,448"
202339,"$18,125,000"
1629833,
203992,"$18,000,000"
202711,"$18,700,000"
1629626,"$2,161,152"
1630195,"$2,353,320"
1629067,"$1,729,217"
1626164,"$31,610,000"
1630527,"$925,258"
1628449,"$7,009,615"
1630547,"$4,154,400"
202340,"$2,641,691"
1628396,"$1,789,256"
1629649,
1628969,"$5,557,725"
1628970,"$5,421,493"
1629052,"$1,701,593"
1627763,"$21,700,000"
1629717,"$1,625,991"
1628415,"$12,200,000"
1628971,"$4,736,102"
1627759,"$24,830,357"
1629650,"$1,720,779"
1628425,"$3,000,000"
1630535,"$925,258"
1629718,
1630602,
1628972,"$5,170,564"
1628973,"$1,802,057"
1628418,"$8,730,159"
203493,"$9,536,000"
203504,"$3,333,333"
202692,"$9,536,000"
1630215,"$925,258"
202710,"$36,016,200"
1629719,"$364,533"
203484,"$13,038,862"
1630267,"$3,804,150"
1628427,"$1,782,621"
1629962,"$100,000"
203991,"$17,103,448"
1630176,"$1,517,981"
1628975,"$4,107,149"
1628976,"$6,920,027"
1627936,"$8,604,651"
1630551,
1629185,
1627737,"$958,529"
1630528,"$2,259,240"
1629109,"$377,645"
1629634,"$2,726,880"
203903,"$12,420,000"
1629651,"$1,782,621"
1629599,"$153,488"
1628381,"$23,000,000"
1628380,"$6,984,127"
201144,"$21,000,000"
1626192,"$5,333,333"
1629076,
1630536,
202326,"$1,290,481"
203496,"$12,975,471"
1628470,"$4,878,049"
203109,"$9,720,900"
1629633,"$6,395,160"
1630595,"$10,050,120"
203552,"$8,186,047"
201939,"$45,780,966"
203076,"$35,361,360"
202334,"$2,641,691"
1629056,"$4,000,000"
201942,"$26,000,000"
203473,"$5,256,308"
1628978,"$4,675,830"
1628977,"$5,200,000"
203476,"$4,000,000"
203915,"$17,142,857"
1629029,"$10,174,391"
1629652,"$1,782,621"
1630245,"$925,258"
201609,"$20,168,742"
203083,"$2,401,537"
1630537,"$3,749,520"
1630561,
201142,"$40,918,900"
1630162,"$10,245,480"
1629035,"$76,744"
1630556,"$5,318"
1629604,"$1,517,981"
201961,"$2,641,691"
203954,"$31,579,390"
202324,"$9,720,900"
1628981,"$1,782,621"
1627827,"$4,000,000"
1630238,"$231,062"
1630201,"$2,048,040"
1627854,
1630235,"$8,558"
203095,"$18,139,535"
1628368,"$28,103,550"
1628982,
1628365,"$16,500,000"
1629117,"$29,814"
1629655,"$1,782,621"
201568,"$20,475,000"
1629636,"$7,040,880"
1630586,"$2,353,320"
1630568,"$925,258"
200752,"$5,890,000"
202331,"$39,344,970"
201959,"$4,910,000"
1630581,"$5,988,000"
1628983,"$5,495,532"
1630264,"$1,517,981"
203497,"$35,344,828"
1629164,
203932,"$16,409,091"
201569,"$18,218,818"
1628984,"$11,000,000"
203924,"$20,000,000"
201980,"$10,000,000"
203110,"$24,026,712"
203210,"$8,292,683"
1630224,"$8,992,200"
1629750,"$1,669,178"
201145,"$4,500,000"
1630182,"$2,957,520"
201933,"$32,405,817"
1629656,"$2,168,760"
1629060,"$4,916,160"
1630169,"$4,023,600"
1630181,"$2,303,040"
203501,"$21,306,816"
201935,"$43,848,000"
203090,"$4,347,600"
1629607,
1626149,"$9,720,900"
203914,"$20,482,143"
203925,"$17,357,143"
202699,"$36,000,000"
1628404,"$12,000,000"
1628392,"$3,430,810"
2617,"$2,641,691"
1630573,"$313,737"
1629637,"$5,348,280"
1630165,"$5,572,680"
202330,"$29,900,000"
1627823,"$6,175,440"
1626195,"$2,327,220"
1629639,"$4,004,280"
1627741,"$22,477,273"
1629312,"$290,967"
201588,"$4,000,000"
1630792,
1630207,
1628988,"$3,980,551"
201950,"$30,133,333"
203200,"$6,006,420"
1626158,"$10,384,500"
203918,"$2,239,544"
201143,"$27,000,000"
1629659,"$9,500,000"
1627863,"$2,045,094"
2730,"$2,641,691"
1630210,
1628989,"$4,253,357"
1630190,"$1,517,981"
1630624,
1629631,"$7,775,400"
1630538,"$2,096,880"
201586,"$9,742,000"
2738,"$2,641,691"
204060,"$14,000,000"
1627742,"$29,467,800"
202681,"$34,916,200"
1628371,"$17,400,000"
1628402,"$3,000,000"
1630543,"$2,451,120"
1628367,"$5,005,350"
202704,"$10,384,500"
1628991,"$9,180,560"
2544,"$41,180,544"
1629660,"$2,412,840"
1630198,"$1,517,981"
1629661,"$4,437,000"
1630525,
1630552,"$2,659,560"
1629640,"$2,145,720"
1630553,"$2,553,120"
1626169,"$888,616"
203999,"$30,510,423"
1627745,"$1,977,011"
1630529,"$1,700,000"
1630539,"$2,770,560"
1630222,
1630200,"$1,517,981"
1626145,"$7,522,200"
1627884,"$9,720,900"
201599,"$11,109,327"
202709,"$7,310,000"
1628379,"$12,727,273"
1630296,
1630557,"$3,383,640"
1628467,"$8,750,000"
1630233,
1628995,"$5,845,978"
1629723,"$2,197,674"
1627788,"$4,629,630"
1628436,"$606,702"
1630249,"$925,258"
1629083,
1630228,"$5,466,360"
1628398,"$13,000,000"
203897,"$19,500,000"
1630237,
203087,"$10,500,000"
1629111,"$925,258"
1629641,"$3,804,360"
1627774,"$3,940,184"
1627747,"$17,500,000"
